Filename,Mean Pitch (Hz),Mean F1 (Hz),Mean F2 (Hz),Mean Intensity (dB)
a_01at1.wav,162.545006,419.5677236,1950.108837,67.30106803
a_01at2.wav,156.0726876,427.1088537,1972.192415,65.98086308
a_01at3.wav,149.8296951,412.8681518,1894.26925,69.08902732
a_01at4.wav,142.9053177,423.224295,1887.72709,73.51440047
a_04at1.wav,204.1801815,398.2736703,1431.910226,70.35684389
a_04at2.wav,206.5398459,318.3820458,1617.885109,70.62556609
a_04at3.wav,197.2670501,436.277859,1318.574212,70.64288202
a_04at4.wav,201.8648065,438.4968647,1364.477563,78.37740303
a_118at1.wav,199.7644754,497.9889895,1674.257336,69.17564161
a_118at2.wav,203.259406,447.0987227,1753.232442,68.29623261
a_118at3.wav,195.4133585,424.798716,1603.519655,73.0132797
a_118at4.wav,192.842002,478.2811691,1729.661275,77.23655047
a_119at1.wav,216.6690964,653.0514627,1525.878376,75.44050788
a_119at2.wav,226.4111425,544.001135,1541.212154,72.32572912
a_119at3.wav,199.349407,506.4657413,1461.571601,76.79679675
a_119at4.wav,210.9019153,692.0677156,1614.484501,81.37564431
a_129at1.wav,213.3089338,575.5074744,1736.234015,70.21236704
a_129at2.wav,212.8507552,490.0957036,1727.716971,69.88831415
a_129at3.wav,213.582992,592.1753531,1606.707426,74.95154225
a_129at4.wav,208.0038319,643.9224663,1627.854787,79.16741168
a_133at1.wav,215.4063799,456.748827,1583.88359,71.49103684
a_133at2.wav,218.8739757,446.4185988,1538.012431,69.74909824
a_133at3.wav,211.854988,533.6832295,1548.787961,75.86050572
a_133at4.wav,194.7949624,588.3628247,1558.178223,79.52134117
a_135at1.wav,168.9084949,462.2880601,1535.831537,68.54306943
a_135at2.wav,158.390406,475.2653914,1732.996411,67.76985237
a_135at3.wav,156.4292171,411.4489077,1409.282165,69.22684242
a_135at4.wav,164.6002413,471.3160445,1540.321735,78.35208238
a_137at1.wav,202.1727459,486.0148239,1639.793475,72.71971555
a_137at2.wav,209.8400904,468.9373609,1735.917817,68.6912952
a_137at3.wav,195.2303265,464.0591443,1398.501158,68.12865898
a_137at4.wav,202.7617486,489.7106695,1589.280523,74.27380848
a_138at1.wav,207.4363345,507.3642301,1814.290679,75.2525959
a_138at2.wav,208.0936761,417.3693052,1767.077407,73.1663024
a_138at3.wav,203.6152443,383.4371147,1417.24682,74.66773857
a_138at4.wav,200.301826,557.8580535,1718.9823,80.95188597
a_141at1.wav,215.3045594,378.3587526,1761.804877,74.21769578
a_141at2.wav,217.6594481,338.3753709,1968.067557,71.76851881
a_141at3.wav,202.9204707,405.5761229,1724.156297,77.49060536
a_141at4.wav,202.1327755,412.6840927,1942.035596,81.25992999
a_144at1.wav,215.4728306,501.7738134,1235.066249,76.24433166
a_144at2.wav,217.5737962,314.353789,1199.201318,73.00061918
